title,description,text,image name
        Mają blisko 100 lat i potrzebują pomocy.,"Pan Edward ma 98 lat, pani Halina 96. Oboje są schorowani i nieporadni. Małżeństwo od ponad roku stara się o miejsce w domu pomocy społecznej. – Błagam, róbcie wszystko, aby nas stąd wzięli – prosi 98-latek. Jednak urzędnicy staruszkom odmówili. Krystyna Wojcieska ma 87 lat. Choć sama jest schorowana, codziennie opiekuje się blisko 100-letnią siostrą i szwagrem. - Wstaję o godz. 4:45. Gotuję, jem śniadanie. Jedzenie pakuje w gazety, żeby nie ostygło. I wtedy do nich jadę. Mam autobus o 6.40. Jestem u nich o 7:10 – mówi Wojcieska.","Siostra pani Krystyny ma poważne problemy z pamięcią. - Robi różne straszne rzeczy. Zapala gaz, albo odkręca wodę i idzie spać. Ale szwagrowi, choć jest starszy, głowa jeszcze pracuje.Pan Edward codziennie wyczekuje na przyjazd pani Krystyny. - Jak ona nie przychodzi, to się denerwuje. Któregoś razu przewróciłem się, upadłem, doczołgałem się do fotela w kuchni i tam wstałem. Drugi raz upadłem na podłogę, na wznak w kuchni. Tak jest często – przyznaje Edward Rzepecki.Zdarza się, że pani Krystyna przyjeżdża w środku nocy. - Wtedy biorę taryfę i jadę. Czasami nie chce mi się wstać, też mnie coś boli, nieraz usiądę i się popłaczę. Nie mam pojęcia, co to będzie. Szkoda mi siostry, ale wiadomo, to jest rodzina – mówi Wojcieska.Pani Krystynie w opiece nad siostrą i szwagrem pomaga syn, który raz w tygodniu przyjeżdża z Olsztyna, by zrobić zakupy i załatwić sprawy urzędowe. Ponieważ stan zdrowia małżeństwa, jak i pani Krystyny pogarszał się – ponad rok temu pan Ryszard poprosił Miejski Ośrodek Pomocy Społecznej o umieszczenie staruszków w domu pomocy społecznej.- Poszedłem do opiekunki środowiskowej. Ta pojawiła się u państwa Rzepeckich, przeprowadziła wywiad środowiskowy, wypełniliśmy dokumenty. Złożyłem je w MOPS-ie i czekaliśmy. Do tych dokumentów dołączona miała być opinia lekarza rodzinnego. Myślałem, że tę opinię załatwi MOPS. Czekałem trzy miesiące. W końcu sam poszedłem do lekarza rodzinnego po opinię.- Lekarz rodzinny napisał, że oni nie mogą być sami. Napisał, że są niepełnosprawni i muszą być w domu opieki, żeby mieć opiekę przez całą dobę – mówi pani Krystyna.Zamiast skierowania do DPS-u MOPS zaproponował schorowanym małżonkom opiekunkę, która miała się nimi zajmować przez dwie godziny dziennie. Jednak państwo Rzepeccy nie zaakceptowali obcej osoby w swoim domu. Rodzina nadal starała się o całodobową opiekę, tym bardziej, że zalecił ją także lekarz rodzinny państwa Rzepeckich.Po kilku miesiącach oczekiwania w końcu zapadła decyzja: MOPS odmówił staruszkom skierowania do DPS-u. Uznał, że małżonkom wystarczy opieka domowa, a ponadto 96-letnia pani Halina może liczyć na wsparcie starszego o dwa lata męża. Według MOPS-u pozostanie we własnym mieszkaniu przyniesie małżonkom więcej korzyści niż pobyt w domu pomocy społecznej. Da im dłuższą aktywność, niezależność, lepsze samopoczucie i zdrowie.- Uzasadnienie mnie nie przekonuje. Ono idzie w kierunku, czy ta osoba spełniła warunki ustawowe. Są to osoby starsze i chore, pierwsza część warunków została spełniona. Druga, którą powinien zbadać ośrodek, to możliwość zabezpieczenia tych osób w środowisku naturalnym. I tu, jeśli ktoś potrzebuje pomocy całodobowej, a proponuje mu się godzinę, czy dwie godziny opiekunki do osoby, która ma prawie 100 lat, to jest niewystarczające, żeby zabezpieczyć jej potrzeby. Decyzja była wydawana ponad sześć miesięcy, w przypadku osób w tym wieku, to bardzo długo. Czas może mieć duże znaczenie dla ich życia i zdrowia – mówi Paweł Maczyński, przewodniczący Federacji Związkowej Pracowników Socjalnych i Pomocy Społecznej.Reporter Uwagi! próbował porozmawiać o sytuacji państwa Rzepeckich z dyrektor MOPS-u. - Jestem zajęta. Wykonuje swoje codzienne obowiązki. Bardzo proszę o pytania na piśmie i na piśmie dostaniecie odpowiedź – oświadczyła Stefania Michalik-Rosa z Miejskiego Ośrodka Pomocy Społecznej w Bartoszycach.Pracę MOPS-u nadzoruje burmistrz Bartoszyc. On także znana sytuację państwa Rzepeckich. Kilka tygodni temu deklarował nawet pomoc dla małżeństwa, ale do dziś nie wiadomo, na czym miałaby ona polegać. Nie zastaliśmy go w urzędzie, dlatego spotkał się z nami zastępca burmistrza.- Uczynię wszystko, żeby tym ludziom pomóc – deklaruje Krzysztof Hećman, wiceburmistrz Bartoszyc.",No image found
            Apple zmienia ustawienia aplikacji: zaanektowany Krym jest częścią Rosji. ,"Firma Apple spełniła rosyjskie sugestie, by w aplikacji AppleMaps była zaznaczona przynależność Krymu do terytorium Rosji.","W 2014 roku Federacja Rosyjska, ignorując prawo międzynarodowe i wiążące ją umowy,Krym został zapisany w rosyjskiej Konstytucji jako integralna część Federacji, czego nie zaakceptowała większość państw. Sewastopol otrzymał status miasta wydzielonego - jest to strategiczny punkt na mapie i ważny port. Korzystając z AppleMaps, użytkownicy mogą zauważyć, że półwysep został uznany za część Rosji.BBC przetestowało kilka iPhone'ów w Moskwie i okazało się, że zmiana dotyczy urządzeń skonfigurowanych na rosyjską wersję. Apple prowadził z Rosją rozmowy, ponieważ  oświadczyła, że niewskazanie przynależności Krymu do Federacji, to niedokładność.Skomentował to również Wasilij Piskariow, który pełni w Dumie funkcję przewodniczącego komitetu ds. bezpieczeństwa i walki z korupcją. - Apple zastosował się do rosyjskiej konstytucji. Na chwilę obecną, sprawa jest dla nas zamknięta. Mamy to, czego chcieliśmy - powiedział. Dodał również, że Rosjanie zawsze są otwarci na dialog i współpracę z zagranicznymi firmami.Zaprotestowali przedstawiciele władz Ukrainy - minister spraw zagranicznych Wadym Prystajko i ukraińska ambasada w Waszyngtonie. Prystaiko oskarżył firmę o brak wrażliwości i stwierdził, że choć Krym znajduje się obecnie pod okupacją Rosji, to nie jest jej częścią.Na Twitterze pojawił się wpis ambasady ukraińskiej w USA: ""Ukraińcy chyba nie mogą dziękować Apple podczas tegorocznego Święta Dziękczynienia. Przypomnijmy firmie, że Krym jest ukraiński i jest pod okupacją Rosji, a nie jej władaniem"".Decyzję amerykańskiej korporacji skrytykował także minister spraw zagranicznych Litwy Linas Linkevicius. ""Przyłączamy się do Ukrainy w wyrażaniu rozczarowania podejściem Apple'a do Krymu jako do części Rosji. Wzywamy Apple'a by zmienił to ignoranckie stanowisko, ponieważ status quo na Krymie się nie zmienił: wciąż jest okupowany przez Rosję, jest to część Ukrainy, w tej wojnie wciąż giną ludzie"" - napisał. Apple nie odniosło się jeszcze sytuacji.Źródło: , PAP(mj)",applemaps-zmienila-ustawienia-krym-jest-czescia-rosji.jpg
            Niedziela handlowa. Czy sklepy w niedzielę 1 grudnia będą otwarte?,Czy niedziela 1 grudnia to niedziela handlowa? Od początku tego roku sklepy co do zasady otwarte są tylko w ostatnie niedziele miesiąca. Niedziela 1 grudnia nie jest zatem niedzielą handlową. Sklepy nie będą otwarte i w niedzielę nie można zrobić w nich zakupów.,"Ustawa o ograniczeniu handlu w niedziele i święta weszła w życie 1 marca 2018 r. Zgodnie z nią handel do końca br. jest dozwolony w jedną niedzielę w miesiącu - ostatnią, a także w dwie kolejne niedziele poprzedzające Boże Narodzenie i w niedzielę poprzedzającą Wielkanoc.Oznacza to, że w niedzielę 1 grudnia sklepy nie będą otwarte. Od 2020 r. zakaz handlu nie będzie obowiązywał jedynie w ostatnią niedzielę stycznia, kwietnia, czerwca i sierpnia każdego kolejnego roku kalendarzowego, a także w dwie kolejne niedziele poprzedzające Boże Narodzenie i w niedzielę poprzedzającą Wielkanoc.Ustawa o ograniczeniu handlu w niedziele przewiduje jednak szereg wyjątków w przypadku sklepów, które mogą w te dni prowadzić sprzedaż. Są to przede wszystkim sklepy prowadzone przez przedsiębiorców ""we własnym imieniu i na własny rachunek"". Prawo to nie dotyczy gastronomii. W związku z tym restauracje i bary będą mogły być otwarte. Problematyczne jest ich funkcjonowanie w centrach handlowych.Wyjątki w zakazie handlu obejmują:(pp)",niedziela-handlowa-czy-sklepy-w-niedziele-1-grudnia-beda-otwarte.jpg
            Tajemniczy pakunek przed drzwiami starachowickiej prokuratury bez materiałów wybuchowych,"Po kilku godzinach zakończyły się działania związane z tajemniczym pakunkiem, jaki dziś rano został znaleziony przed budynkiem Prokuratury Rejonowej w Starachowicach w woj. świętokrzyskim. Okazało się, że nie zawierał on materiałów wybuchowych. Teraz śledczy szukają sprawcy całego zamieszania, który może trafić do więzienia nawet na osiem lat.","Jak informowaliśmy, przed godz. 7 pracownica Prokuratury Rejonowej w Starachowicach znalazła przy drzwiach wejściowych do budynku pakunek z napisem wskazującym, że jest on przeznaczony dla pracowników tej instytucji i może być niebezpieczny. Chodzi o słowa ""W majestacie prawa"". Także sposób ułożenia paczki i jej opakowanie mogły na to wskazywać.Na miejsce wezwano policjantów, zamknięto okolice ul. Leśnej, a w budynku prokuratury odcięto gaz. W obawie, że pakunek może zawierać materiały wybuchowe, na miejsce przybył specjalistyczny patrol minersko-pirotechniczny, który około godz. 11 ustalił jego zawartość.- Na szczęście nie były to materiały wybuchowe, czy inne substancje niebezpieczne – mówi Daniel Prokopowicz, rzecznik Prokuratury Okręgowej w Kielcach. – Dopiero wówczas pracownicy weszli do budynku. Natomiast dopiero przed godz. 12.30 zakończono czynności na miejscu – dodaje.Teraz trwają działania zmierzające do ustalenia sprawcy tergo zdarzenia. – Za ten czyn może mu grozić kara od sześciu miesięcy do ośmiu lat więzienia – podkreśla Daniel Prokopowicz.(dm)",kielce-prokuratura-okregowa.jpg
"            Black Friday 2019. Czy największe dyskonty szykują promocje? [Biedronka, Lidl]","Black Friday, czyli Czarny Piątek, to dzień atrakcyjnych promocji i ofert przygotowywanych przez różne sklepy oraz sieci handlowe. Black Friday odbywa się zawsze w ostatni piątek listopada - wtedy sklepy organizują największe wyprzedaże. Co na 2019 rok przygotowały dla swoich klientów takie sieci jak Lidl i Biedronka?","W roku 2019  odbędzie się 29 listopada. W następnych latach Black Friday Polska wypada: 27 listopada 2020; 26 listopada 2021; 25 listopada 2022 roku.Black Friday wywodzi się z USA i wypada zawsze w pierwszy piątek po amerykańskim Święcie Dziękczynienia. Przyjmuje się, że właśnie wtedy sklepy wchodzą w okres opłacalności swojego funkcjonowania. Pieniądze przestają przeznaczać na pokrywanie kosztów funkcjonowania, a zaczynają liczyć zyski.W trakcie  w sklepach stacjonarnych i internetowych możemy spodziewać się wielu obniżek. Sieci i sklepy przez cały dzień informują o promocjach i obniżkach cen. Zakupy online są alternatywą dla tych, którzy nie lubią stać w kolejkach. Wiele sklepów internetowych oraz wielkich sieci sprzedaży oferuje produkty w promocyjnych cenach.Black Friday w Polsce zyskuje coraz większą popularność - wynika z przeprowadzanych badań. Największą popularnością wśród kupujących w Black Friday cieszą się kolejno: ubrania, buty i bielizna, telewizory, projektory, zestawy kina domowego, smartfony, laptopy i komputery, sprzęt AGD, kosmetyki, artykuły spożywcze, książki, muzyka, zabawki.W niektórych polskich sklepach promocje i obniżki w ramach Black Friday rozpoczęły się wcześniej.  rozpoczyna akcję 25 listopada, a Biedronka oferuje niższe ceny przez tzw. Black Week - od 21 do 30 listopada.Lidl informuje, że promocje na niektóre artykuły sięgają nawet 80 proc. To np. odzież, narzędzia, elektronika, meble i zabawki.  oferuje natomiast ubrania, narzędzia, meble, dekoracje, zabawki i akcesoria do kuchni. Te produkty w Biedronce będą przecenione o ok. 30 - 50 proc.W Czarny Piątek promocje są z roku na rok coraz większe. Sklepy konkurują ze sobą na najlepsze oferty, dzięki czemu notują świetne wyniki sprzedaży, a klienci otrzymują towar za niską cenę. Black Friday to dzień, w którym można spodziewać się największych wyprzedaży i w niektórych przypadkach na pewno warto wstrzymać się z zakupem do Czarnego Piątku. To szansa na zaoszczędzenie pieniędzy. Black Friday to atrakcyjne promocje, prezenty do produktów, pakiety, bezpłatna dostawa do domu, kody rabatowe itp.(pmd)",black-friday-2019-jakie-promocje-w-czarny-piatek.jpg
            Nadchodzi zima trzydziestolecia? Śnieg spadnie w weekend. Prognoza pogody,Synoptycy zapowiadają zbliżający się atak zimy. Już w najbliższy weekend niemal cała Polska pokryje się śniegiem. Ochłodzenie potrwa kilka dni. Zbliżający się styczeń może okazać się z kolei najchłodniejszym od 30 lat. Przedstawiamy prognozę na najbliższe dni.,"Minusowa temperatura pojawi się na termometrach wraz z początkiem grudnia. Pierwszy śnieg, który ma spaść za kilka dni, utrzyma się przez niemal tydzień, do 5-6 grudnia. W regionach podgórskich grubość pokrywy śnieżnej wyniesie ok. 10 cm, a w większości kraju do 8 cm.Meteorolodzy serwisu MeteoGroup Polska przeanalizowali mapki z modelu ECMWF. Wykazują one, że po chwilowym ociepleniu nastąpi spory spadek ciepła i na dobre rozpocznie się zima. ""Od soboty zrobi się wyraźnie chłodniej - wróci nocny mróz, a temperatury w dzień będą wzrastać niewiele powyżej 0 st. C. Poza tym spadnie śnieg! Zima coraz bliżej!"" - napisali analitycyW zeszłym roku grudniowa pogoda bardziej przypominała jesienną niż zimową. Pierwszy śnieg, poza regionami górskimi, spadł wówczas w Polsce dopiero w drugiej połowie miesiąca. Zima zaatakuje nie tylko nasz kraj - śnieg pojawi się również u naszych sąsiadów: Słowaków i Czechów, a na Ukrainie grubość stałej pokrywy śniegu osiągnie nawet 20 cm.Wielu ekscytuje się nadchodzącą zimą 30-lecia. Temperatura powietrza jednak w ostatnim miesiącu roku w Polsce będzie się mieścić w przedziale od -2 do 2 st. C., ale będzie więcej opadów.Z kolei to zbliżający się styczeń może być najchłodniejszy od 30 lat. Nie wszyscy są tu jednak zgodni, że tak rzeczywiście będzie.Kachelmann zajmujący się zjawiskami pogodowymi w Szwajcarii i krajach niemieckojęzycznych. uważa, że teoria o zimie trzydziestolecia, delikatnie mówiąc, mija się z prawdą.""Kanał Weather Channel przewiduje rekordową zimę w Europie ze względu na brak aktywności słonecznej. My, Europejczycy, mamy ubaw z wyścigu o najbardziej skrajną prognozę pogody"" - , odwołując się do dwóch popularnych serwisów pogodowych: The Weather Channel i AccuWeather. ""Wszyscy jesteście do niczego"" - skwitował.(Źródło: Twitter. mj)",atak-zimy-trzydziestolecia-w-najblizszy-weekend.jpg
            Black Friday: Czarny Piątek w Polsce. Liczne promocje i wyprzedaże,"Black Friday, czyli Czarny Piątek, to dzień najatrakcyjniejszych zakupów. Black Friday zawsze odbywa się w ostatni piątek listopada – nie tylko w Stanach Zjednoczonych, ale równocześnie na całym świecie. Tego dnia małe i duże sklepy organizują najciekawsze promocje i największe wyprzedaże.","W Polsce Black Friday, choć nie jest jeszcze tak popularny jak w krajach Ameryki Północnej, z każdym rokiem staje coraz bardziej znany. Wśród polskich konsumentów określany jest jako  Polska, ale i również jako Czarny Piątek.W Polsce Black Friday jest organizowany od niedawna, ale z roku na rok Polacy mogą korzystać z coraz lepszych ofert.W roku 2019 Black Friday odbędzie się 29 listopada. W następnych latach Black Friday Polska wypada: 27 listopada 2020; 26 listopada 2021; 25 listopada 2022 roku.Czarny Piątek dotarł do Polski zza oceanu, a wziął się stąd, że w ostatni piątek listopada był tradycyjnie dniem rozpoczęcia sezonu zakupów przedświątecznych. Chociaż obecnie klienci robią zakupy gwiazdkowe znacznie wcześniej, to jednak Black Friday jest dniem, w którym szczególnie opłaca się to robić –  są dłużej czynne, a do tego organizują najlepsze wyprzedaże i największe promocje w całym roku.Black Friday to dzień, w którym można liczyć na niższe ceny produktów – zarówno w sklepach stacjonarnych, jak i internetowych. Rabaty od kilku do nawet kilkudziesięciu procent obejmują między innymi urządzenia elektroniczne, takie jak komputery stacjonarne i laptopy,  i tablety, telewizory i projektory, konsole do gier i sprzęt AGD czy różnego rodzaju gadżety.Aby zrozumieć dlaczego Czarny Piątek wywołuje falę zakupów wystarczy zauważyć, że promocje są ogromne i z co rok większe.Korzyści z nich są obopólne - klienci mają okazję, by zaoszczędzić na zakupie produktów oraz by zdobyć „za bezcen” prezenty i produkty na Gwiazdkę, a sklepy notują tego dnia świetne wyniki sprzedaży. zakupów sprawia, że sklepy konkurują ze sobą na najlepsze oferty. Na tym zyskują klienci, którzy mogą przebierać w produktach i wybrać najatrakcyjniejsze dla nich.Black Friday w sklepach to nie tzw. „wietrzenie magazynów”. Sklepy nie pozbywają się niechcianych produktów, lecz oferują doskonałe towary w atrakcyjnych cenach. Jest to dzień, w którym można spodziewać się największych wyprzedaży i w niektórych przypadkach na pewno warto wstrzymać się z zakupem do Black Friday – istnieje ogromna szansa na zaoszczędzenie pieniędzy. Trzeba jednak decydować się szybko, bo tego dnia produkty znikają z błyskawicznie.Black Friday to atrakcyjne promocje w postaci prezentów do zakupionych produktów, pakiety typu „dwa w cenie jednego”, bezpłatna dostawa do domu, kody rabatowe.Badanie statystyczne ujawniają, że Black Friday w Polsce zyskuje coraz większą popularność. Największą popularnością wśród kupujących w Black Friday cieszą się kolejno: ubrania, buty i bielizna, telewizory, projektory, zestawy kina domowego, smartfony, laptopy i komputery, sprzęt AGD, kosmetyki, artykuły spożywcze, książki, muzyka, zabawki.W Black Friday uczestniczą w Polsce firmy wszelkich branż, w tym największe sieci handlowe jak np.: Media Expert, Rossmann, RTVEuroAgd, MediaMarkt, Reserved, Empik.",black-friday.jpg
            Black Friday 2019. Jak mogą oszukać nas sklepy podczas Czarnego Piątku?,"Black Friday, a po polsku Czarny Piątek, to dzień, gdy w sklepach czeka na nas mnóstwo promocji. Przeceny podczas Black Friday (piatek 29 listopada) potrafią osiągnąć nawet 90 proc. Taka okazja może wydawać się atrakcyjna, ale sklepy wcale nie tracą podczas Czarnego Piątku. Należy uważać, gdyż niektórzy sprzedawcy próbują oszukać swoich klientów."," swoją genezę ma w USA. Jest to zawsze pierwszy piątek po amerykańskim Święcie Dziękczynienia. Dlaczego akurat wtedy? Przyjmuje się, że właśnie wtedy sklepy zaczynają początek opłacalności swojego funkcjonowania. Pieniądze przestają przeznaczać na pokrywanie kosztów funkcjonowania, a zaczynają liczyć zyski.W trakcie Czarnego Piątku w sklepach możemy spodziewać się wielu obniżek. Zarówno tych stacjonarnych, jak i internetowych. Sieci i sklepy przez cały dzień informują o promocjach i obniżkach cen. Warto śledzić np.  aby być na bieżąco z najlepszymi promocjami tego dnia. Chętnych na wyprzedaże i zakupy będzie wielu, dlatego warto się pospieszyć zarówno planując zakupy w sklepach i stacjonarnych jak i tych internetowych. Zakupy online są alternatywą dla tych, którzy nie lubią stać w kolejkach. Wiele sklepów internetowych oraz wielkich sieci sprzedaży (Allegro, , Zalando itd.) oferuje produkty w promocyjnych cenach.Częstą techniką jest manipulowanie cenami produktu. Na kilka dni przed Black Friday cena zostaje podwyższona. Gdy nadchodzi Czarny Piątek, sklep ogłasza promocję, która w rzeczywistości jest powrotem do ceny sprzed podwyżki. W ten sposób sprzedawcy zarabiają tyle samo, co w normalny dzień. Co ciekawe znane są przypadki, gdy cena w trakcie Black Friday była wyższa niż w inne zwyczajne dni.Warto dodać, że taka praktyka w świetle polskiego prawa jest karalna. A łatwo przyłapać sklep na stosowanie tej nieuczciwej praktyce. Wystarczy skorzystać z internetowych porównywarek cen, które pokazują ceny z przeszłości. Taką funkcjonalność ma m.in. .Inną techniką stosowane przez nieuczciwie działających sprzedawców podczas Black Friday jest chowanie towarów. Tuż przed Czarnym Piątkiem sklepy chowają do magazynów produkty, które zostały najbardziej przecenione. Zwłaszcza te, na których sklep mógłby stracić nawet połowę wartości danego towaru.W momencie, gdy klient skuszony promocją przychodzi do sklepu, dowiaduje się, że produkt został już wyprzedany. Oferuje się mu wówczas inną, ale już mniej korzystną ofertę, dzięki której jednak sklep więcej zyska.W momencie gdy Black Friday mija, to towary wracają na półki, ale już w swoich normalnych cenach.Niektóre ""triki"" sprzedawców są niezwykle proste. Jeden z nich polega na tym, że na półkę z towarem przecenionym kładzie się towar w normalnej cenie. Dla przykładu do koszyka z przecenionymi do 99 zł dżinsami wrzuca się spodnie z innej kolekcji, które w normalnej cenie kosztują 99 zł. Klient bierze je, przekonany, że kupuje produkt przeceniony i nawet przy kasie może się nie zorientować, że został oszukany.Zdarza się również, że cena przy kasie okazuje się całkiem inną niż na półce. Przepisy wskazują, że obowiązującą ceną jest ta na półce.Przy okazji Black Friday Urząd Ochrony Konkurencji i Konsumentów w 2018 roku wydał specjalne ostrzeżenia, o których warto pamiętać w zakupowym szale podczas Czarnego Piątku.Zaraz po Black Friday następuje Cyber Monday 2019  To odpowiednik czarnego piątku w internecie. W tym roku wypada on w poniedziałek i trwać będzie do samej północy. Cyber Monday to głównie zniżki na RTV, AGD, komputery,  i pozostałą elektronikę. Zniżki, rabaty i wyprzedaże dostępne będą dla wszystkich klientów, którzy zakupy robię przez internet.(JaS)",black-friday-2019-jak-oszukuja-nas-sklepy.jpg
            Warszawa: atakował przechodniów i pobił kobietę w centrum miasta,"Zaczepiał nieznane mu osoby, a jednego z przechodniów przewrócił i zaczął kopać. Widząca to zdarzenie kobieta zadzwoniła na policję, więc napastnik ją także pobił. Działo się to w samym centrum Warszawy. Policjanci zatrzymali agresywnego 37-latka. Grozi mu pięć lat więzienia.","Wszystko wydarzyło się w okolicy placu Konstytucji w warszawskim Śródmieściu. Wczoraj, około godz. 18, operator numeru alarmowego 112 odebrał telefon od przerażonej kobiety, która była świadkiem napaści mężczyzny na przypadkowego przechodnia.- Idący chodnikiem 37-latek zachowywał się agresywnie. Najpierw zaczepiał, wyzywał i szturchał przypadkowych przechodniów. Potem rzucił swoim telefonem w nieznanego mu mężczyznę, przewrócił go na ziemię i zupełnie bez powodu zaczął go bić – mówi Onetowi nadkomisarz .- Widząc to zdarzenie przechodząca w pobliżu kobieta wyciągnęła telefon i zadzwoniła na policję. Kiedy napastnik usłyszał, że zaalarmowała funkcjonariuszy, zaatakował również ją. Mężczyzna podbiegł do 33-latki, uderzył ją pięścią w twarz, na skutek czego pokrzywdzona doznała licznych obrażeń ciała. 37-latek zniszczył także kobiecie okulary o wartości 1500 zł – relacjonuje Robert Szumiata.Mundurowi ze śródmiejskiego wydziału wywiadowczo-patrolowego szybko udali się na miejsce i zatrzymali agresywnego 37-latka. Podczas przeszukania mężczyzny, w kieszeni jego kurtki funkcjonariusze znaleźli słoiczek z marihuaną. Okazało się, że napastnik był był pijany. Był bardzo agresywny także w stosunku do interweniujących policjantów, znieważał ich, a pobitej kobiecie groził śmiercią.Pogotowie ratunkowe zabrało pokrzywdzoną do szpitala, a zatrzymany mężczyzna trafił do izby wytrzeźwień. Kiedy 37-latek doszedł do siebie, usłyszał cztery zarzuty, w tym za pobicie i czyny o charakterze chuligańskim. Zgodnie z kodeksem karnym grozi mu do pięciu lat więzienia.(dm)",atakowal-przechodniow-w-centrum-warszawy-zostal-zatrzymany.jpg
            Prezes Sądu Najwyższego zaapelował do nowych sędziów. Nie posłuchali,"Prezes Izby Cywilnej SN Dariusz Zawistowski chciał, by nowi sędziowie powstrzymali się od orzekania do czasu wdrożenia przez SN najnowszego wyroku Trybunału Sprawiedliwości UE. Troje z nich w czwartek prowadziło jednak rozprawę - informuje na swojej stronie ""Rzeczpospolita"".","W środę prezes Izby Cywilnej sędzia Dariusz Zawistowski wydał oświadczenie, z którego wynika, że do czasu wydania przez Sąd Najwyższy orzeczeń w sprawach, w których TSUE przedstawiono pytania prejudycjalne, w Izbie Cywilnej SN nie będą wyznaczane składy sędziów z udziałem osób, których dotyczy wyrok TSUE.Jak podaje portal , akurat na czwartek wyznaczona była wcześniej rozprawa w składzie trzech nowych sędziów izby cywilnej: Małgorzaty Manowskiej, Jacka Greli i Beaty Janiszewskiej. Przystąpili oni do prowadzenia rozprawy. Pełnomocnicy obu stron nie zgłosili żadnych wniosków w tej kwestii.Według informacji gazety jeszcze w czwartek nowi sędziowie SN mają wydać oświadczenie w sprawie apelu .""Treść wyroku Trybunału Sprawiedliwości UE z 19 listopada 2019 r. (...) wskazuje między innymi na prawdopodobieństwo, że Krajowa Rada Sądownictwa nie jest organem obecnie niezależnym, nie może zatem wykonywać powierzonego jej w konstytucji zadania stania na straży niezależności sądów i niezawisłości sędziów"" - głosi oświadczenia prezesa Zawistowskiego.Trybunał Sprawiedliwości UE  w odpowiedzi na pytania prejudycjalne zadane przez Izbę Pracy Sądu Najwyższego. Trybunał orzekł, że to Sąd Najwyższy ma badać niezależność nowej Izby Dyscyplinarnej, by ustalić, czy może ona rozpoznawać spory dotyczące przejścia sędziów Sądu Najwyższego w stan spoczynku. Zdaniem TSUE, jeśli SN uznałby, że Izbie Dyscyplinarnej brak niezależności i bezstronności, mógłby - zgodnie z wyrokiem TSUE - przestać stosować przepisy, na mocy których to właśnie do tej Izby należy rozpoznawanie sporów dotyczących przejścia w stan spoczynku sędziów SN.(mt)",sedzia-dariusz-zawistowski.jpg
