model,production year,mileage,engine capacity,price,currency,city,region
Opel Corsa D,2011,83 470 km,1 200 cm3,,,Myœlenice,Ma³opolskie
Opel Corsa D,2011,75 000 km,1 200 cm3,,,Stare Kurowo,Lubuskie
Opel Corsa D,2009,136 300 km,1 200 cm3,,,D¹browa Górnicza,Œl¹skie
Opel Corsa D,2011,97 963 km,1 229 cm3,,,Kraków,Ma³opolskie
Opel Corsa D,2011,113 000 km,1 400 cm3,,,Gostyñ,Wielkopolskie
Opel Corsa D,2009,99 000 km,1 299 cm3,,,Œwiebodzin,Lubuskie
Opel Corsa D,2009,119 000 km,1 229 cm3,,,P³ock,Mazowieckie
Opel Corsa D,2013,124 000 km,998 cm3,,,Rybnik,Œl¹skie
Opel Corsa D,2009,133 500 km,1 229 cm3,,,O¿arów Mazowiecki,Mazowieckie
Opel Corsa D,2014,137 000 km,1 229 cm3,,,Grodzisk Mazowiecki,Mazowieckie
Opel Corsa D,2010,93 000 km,1 200 cm3,,,Lipno,Kujawsko-pomorskie
Opel Corsa D,2012,130 800 km,1 398 cm3,,,Bogatynia,Dolnoœl¹skie
Opel Corsa D,2010,137 543 km,1 229 cm3,,,Goleniów,Zachodniopomorskie
Opel Corsa D,2009,93 000 km,1 229 cm3,,,Góra Kalwaria,Mazowieckie
Opel Corsa D,2009,121 000 km,1 200 cm3,,,Wola Radziszowska,Ma³opolskie
Opel Corsa D,2009,148 000 km,998 cm3,,,Wroc³aw,Dolnoœl¹skie
Opel Corsa D,2011,146 147 km,1 400 cm3,,,Sieradz,£ódzkie
Opel Corsa D,2010,123 000 km,998 cm3,,,Olsztyn,Warmiñsko-mazurskie
Opel Corsa D,2010,80 591 km,1 200 cm3,,,Cieszyn,Œl¹skie
Opel Corsa D,2009,109 409 km,1 229 cm3,,,Krotoszyn,Wielkopolskie
Opel Corsa D,2014,78 630 km,998 cm3,,,E³k,Warmiñsko-mazurskie
Opel Corsa D,2010,126 000 km,1 400 cm3,,,Zduñska Wola,£ódzkie
Opel Corsa D,2009,129 000 km,1 200 cm3,,,Rudawa,Ma³opolskie
Opel Corsa D,2010,105 000 km,1 200 cm3,,,Paczków,Opolskie
Opel Corsa D,2009,102 000 km,1 200 cm3,,,Bodzentyn,Œwiêtokrzyskie
Opel Corsa D,2010,111 800 km,1 200 cm3,,,BieŸdziedza,Podkarpackie
Opel Corsa D,2011,113 000 km,1 200 cm3,,,Porêba,Œl¹skie
Opel Corsa D,2009,147 000 km,1 229 cm3,,,Œwiebodzin,Lubuskie
Opel Corsa D,2010,132 000 km,1 400 cm3,,,Zamoœæ,Lubelskie
Opel Corsa D,2010,140 000 km,1 229 cm3,,,Moszczenica,£ódzkie
Opel Corsa D,2010,96 000 km,1 400 cm3,,,Rostarzewo,Wielkopolskie
Opel Corsa D,2010,88 000 km,1 229 cm3,,,Gliwice,Œl¹skie
Opel Corsa D,2012,119 514 km,1 200 cm3,,,Trzemeszno,Wielkopolskie
Opel Corsa D,2010,134 000 km,1 400 cm3,,,Szczucin,Ma³opolskie
